tournament,date,home_team,away_team,home_score,away_score,p_home,p_draw,p_away,lam_home,lam_away,w_ens
WC 2022,2022-11-21,Senegal,Netherlands,0,2,0.22863067776631318,0.2590407364167345,0.5123285858169524,0.9396827148473426,1.5530576290243259,0.55
WC 2022,2022-11-21,England,Iran,6,2,0.3710534698453557,0.29523543736433666,0.33371109279030775,1.1326760863935101,1.0691754197202656,0.55
WC 2022,2022-11-21,United States,Wales,1,1,0.48736311958873907,0.29010310875221407,0.22253377165904686,1.3024423383847512,0.7923318560352174,0.55
WC 2022,2022-11-22,France,Australia,4,1,0.45397617832003323,0.27167585185788545,0.2743479698220815,1.4111206715570623,1.032037575140709,0.55
WC 2022,2022-11-22,Denmark,Tunisia,0,0,0.41806583402373476,0.29392441877653297,0.28800974719973227,1.223680344121426,0.9676789293195567,0.55
WC 2022,2022-11-22,Argentina,Saudi Arabia,1,2,0.7202928794116393,0.197883431019815,0.08182368956854562,1.9597188893800732,0.4857738122857653,0.55
WC 2022,2022-11-22,Mexico,Poland,0,0,0.46000527115541423,0.271426860352152,0.2685678684924338,1.413811648173836,1.0209589377909554,0.55
WC 2022,2022-11-23,Belgium,Canada,1,0,0.40220939898163044,0.2615835601021863,0.3362070409161831,1.416072246147099,1.2662777975177395,0.55
WC 2022,2022-11-23,Morocco,Croatia,0,0,0.3497753280654223,0.2962990853360887,0.35392558659848905,1.0846811857083671,1.1034852286041117,0.55
WC 2022,2022-11-23,Germany,Japan,1,2,0.39048156003633155,0.2660701337866039,0.34344830617706457,1.3717300350011983,1.2643997112946779,0.55
WC 2022,2022-11-23,Spain,Costa Rica,7,0,0.536270815842324,0.27452588688431806,0.18920329727335816,1.4334925198981847,0.748757192036233,0.55
WC 2022,2022-11-24,Switzerland,Cameroon,1,0,0.4477238076273846,0.2924106412936511,0.25986555107896436,1.2641063937864945,0.8970609606881251,0.55
WC 2022,2022-11-24,Brazil,Serbia,2,0,0.6573267326143982,0.21133445667463627,0.13133881071096548,1.9582435782332306,0.7467687722576138,0.55
WC 2022,2022-11-24,Uruguay,South Korea,0,0,0.4808268934932376,0.2744124631839179,0.24476064332284445,1.4165595830428166,0.9258468098716498,0.55
WC 2022,2022-11-24,Portugal,Ghana,3,2,0.6426416427983566,0.22992715673769618,0.12743120046394718,1.7562989353524847,0.6218951172148497,0.55
WC 2022,2022-11-25,England,United States,0,0,0.3887534804806416,0.28569221182251564,0.32555430769684257,1.221595941733236,1.1042520053296314,0.55
WC 2022,2022-11-25,Qatar,Senegal,1,3,0.42773787271004593,0.2794501530698738,0.29281197422008,1.3244521848588668,1.0687397903620122,0.55
WC 2022,2022-11-25,Netherlands,Ecuador,1,1,0.48763152045060226,0.263641539307958,0.24872694024143976,1.5068724747391677,0.981623138116245,0.55
WC 2022,2022-11-25,Wales,Iran,0,2,0.21443465859226096,0.2961948440819538,0.4893704973257852,0.7470674530528476,1.2619061252034727,0.55
